Cryptocurrency	Summary	Seriousness (1-5)	Rationale	Launched	Market Cap	Left vs. Right (1-100)
AAVE	Decentralized lending platform enabling users to earn interest or borrow crypto assets.	4	Strong DeFi protocol with real utility, governance, and institutional partnerships.	2017	$1.4 billion	80
ADA	Blockchain platform focused on academic research and formal methods, powering Cardano.	3	Solid tech ambition, but criticized for delays and lack of dApp traction.	2017	$16.4 billion	70
ARB	Ethereum layer-2 scaling solution using optimistic rollups by Arbitrum Foundation.	4	Widely used L2 with growing ecosystem; important in Ethereum scaling roadmap.	2021	$2.1 billion	65
AVAX	Layer-1 blockchain known for fast finality and subnet architecture.	4	Popular L1 with active developer ecosystem, though L2 competitors gaining share.	2020	$5.9 billion	70
CRV	Token powering Curve Finance, a decentralized exchange optimized for stablecoins.	3	Influential DeFi protocol but facing governance, incentive, and security challenges.	2020	$400 million	60
DOT	Native token of Polkadot, a blockchain interoperability and parachain ecosystem.	3	Ambitious infrastructure play, still developing meaningful network effects.	2020	$11.5 billion	65
DYDX	Decentralized derivatives trading platform offering perpetual futures.	4	One of the top DeFi derivatives platforms with active trading volume.	2021	$700 million	70
FIL	Filecoin enables decentralized storage through a token-incentivized network.	3	Longstanding Web3 infrastructure project, adoption is steady but fragmented.	2020	$3.2 billion	70
INJ	Injective Protocol enables cross-chain decentralized derivatives and DeFi apps.	3	Niche adoption but strong developer focus and cross-chain potential.	2020	$1.1 billion	70
JUP	Token behind Jupiter, a major swap aggregator on Solana.	3	Dominant liquidity tool in Solana ecosystem; usage-based relevance.	2023	$1.5 billion	60
LDO	Governance token of Lido, the largest liquid staking platform for Ethereum.	4	Critical staking infrastructure with systemic DeFi importance.	2021	$1.6 billion	70
LINK	Chainlink provides decentralized oracles to feed real-world data into blockchains.	5	Essential infrastructure with wide integration and growing institutional adoption.	2017	$10.2 billion	75
MKR	Governance token of MakerDAO, responsible for the DAI stablecoin system.	4	Legacy DeFi protocol with central role in stablecoin innovation.	2017	$2.3 billion	75
NEAR	Layer-1 smart contract platform with sharding and developer-friendly UX.	4	Technically strong L1 with real usage growth and VC backing.	2020	$5.1 billion	75
OP	Governance token of Optimism, an Ethereum Layer-2 scaling solution.	4	Core L2 with deep Ethereum alignment and usage-based funding model.	2022	$3.2 billion	70
UNI	Governance token of Uniswap, the largest decentralized exchange by volume.	5	Market-defining DEX; protocol has shown staying power despite forks.	2020	$5.5 billion	75
XMR	Monero is a privacy-focused cryptocurrency with untraceable transactions.	3	Strong ideological support, but delisted from several exchanges due to regulations.	2014	$2.1 billion	70
AEVO	Decentralized derivatives exchange focused on options and perpetuals.	3	Innovative DeFi platform with niche focus and early traction, though high competition.	2024	$300 million	60
APT	Layer-1 blockchain built by former Meta engineers focused on safety and scalability.	4	Backed by strong team and funding; real adoption remains in progress.	2022	$3.1 billion	55
BNB 	Utility token of Binance ecosystem, powering BNB Chain and exchange fees.	4	Extremely high usage but centralized and regulatory risks.	2017	$85 billion	65
BOME 	Meme coin on Solana ecosystem that gained rapid traction in early 2024.	2	Popular meme coin with speculative appeal; no intrinsic utility.	2024	$1.3 billion	40
BTC	First decentralized digital currency, often referred to as digital gold.	5	Pioneering cryptocurrency with widespread adoption and institutional interest.	2009	$1.3 trillion	90
DOGE	Meme-inspired cryptocurrency originally started as a joke.	3	Strong community and support from influencers but lacks technical purpose.	2013	$22 billion	40
EIGEN	Restaking protocol that extends Ethereum security to other apps and chains.	5	Highly anticipated protocol redefining staking in Ethereum; deep ecosystem integrations.	2024	TBD	75
ENA	Token associated with Ethena Labs and synthetic dollar protocol (USDe).	4	New but promising approach to stablecoins via synthetic architecture.	2024	$1.5 billion	60
ETH	Leading smart contract platform enabling decentralized applications.	5	Backbone of DeFi, NFTs, and L2s with strong network effects.	2015	$400 billion	85
FLOW	Layer-1 blockchain designed for NFTs and games by Dapper Labs.	3	Strong early partnerships (NBA TopShot), but ecosystem stalled in 2023.	2020	$1 billion	55
JTO 	Governance token for Jito, a liquid staking protocol on Solana.	4	Important player in Solana DeFi with strong traction in MEV-optimized staking.	2023	$400 million	55
LTC	Bitcoin fork with faster block times and lower fees; known as digital silver.	3	Early project with legacy value, but minimal innovation in recent years.	2011	$6 billion	70
MORPHO 	Protocol enhancing lending efficiency by combining peer-to-peer and pool models.	4	Technically solid innovation in DeFi lending space with growing interest.	2023	$250 million	65
ONDO 	Token tied to real-world assets protocol offering tokenized treasuries and bonds.	4	Strong narrative in tokenized RWAs; adoption still early but promising.	2023	$1 billion	70
ORDI	First token launched using the Bitcoin Ordinals protocol for NFTs and metadata.	3	Speculative but innovative use case for Bitcoin ecosystem expansion.	2023	$900 million	50
PENDLE	Protocol allowing tokenization and trading of future yield on DeFi assets.	4	Rapidly growing protocol with strong product-market fit and TVL momentum.	2021	$900 million	65
PYTH	Decentralized oracle network providing real-time data feeds across chains.	4	Rival to Chainlink with high-speed feeds and growing cross-chain traction.	2023	$1.2 billion	60
RAY	Utility token of Raydium, a Solana-based DEX and AMM platform.	3	Pillar of Solana DeFi, though impacted by ecosystem volatility.	2021	$200 million	50
RUNE	Thorchain token enabling native cross-chain swaps without wrapped assets.	4	Unique cross-chain liquidity protocol with real utility and risk.	2019	$1.2 billion	60
S	Native token of the Synthetix protocol for trading synthetic assets.	3	Core DeFi primitive though struggling with sustainable tokenomics.	2018	$500 million	55
SAND	Metaverse token for The Sandbox, enabling virtual land and asset trading.	3	High-profile partnerships but metaverse hype has cooled since 2021.	2020	$1 billion	50
SEI	Layer-1 blockchain optimized for trading applications with low latency.	3	Emerging infrastructure with potential, still building ecosystem.	2023	$800 million	50
SOL	High-throughput Layer-1 blockchain known for speed and low fees.	5	One of the top smart contract platforms with strong ecosystem rebound.	2020	$60 billion	55
STRK	Native token of Starknet, a zk-rollup Layer-2 for Ethereum scalability.	4	Deep technical team and serious scalability promise; adoption still growing.	2024	$1.1 billion	75
SUI	Layer-1 blockchain with object-oriented architecture from ex-Meta team.	4	Innovative tech and solid backing; early adoption remains niche.	2023	$1.6 billion	70
TAO	Token of Bittensor, a decentralized machine learning network.	4	Novel concept at the intersection of AI and crypto; gaining mindshare.	2023	$3.5 billion	55
TIA	Celestia's token for modular blockchain data availability layer.	4	Leading modular blockchain thesis; highly anticipated tech stack.	2023	$2.5 billion	65
TON	Layer-1 blockchain originally designed by Telegram; now community-driven.	4	Backed by Telegram integration and active devs; growing retail use case.	2020	$20 billion	70
TRB	Token of Tellor, a decentralized oracle network providing secure data feeds.	3	Niche Chainlink competitor with committed community.	2019	$250 million	65
TRUMP	Meme-inspired token tied to political speculation and social sentiment.	2	Purely speculative meme coin without technical utility.	2024	$300 million	55
TRX	Token of the Tron network focused on content sharing and stablecoin settlements.	3	Long-running project with real usage in USDT transfers, but centralized.	2017	$10 billion	30
WIF	Meme coin on Solana branded 'dogwifhat', rose rapidly in 2024.	2	Pure meme coin with strong community; no tech base.	2023	$2.5 billion	60
WLD	Worldcoin's token linked to biometric identity verification.	3	Controversial but ambitious project with unique approach to digital identity.	2023	$1.2 billion	40
